C_uM,pH,Kd_uM,E_free,EC,v_rel,occupancy
0.5,4.5,145.87135070005846,0.996607132192409,0.00339286780759096,0.996607132192409,0.00339286780759096
0.5,4.6,119.94164595097462,0.9958826566570238,0.0041173433429761985,0.9958826566570238,0.0041173433429761985
0.5,4.7,98.62113680574267,0.995005800393578,0.004994199606422001,0.995005800393578,0.004994199606422001
0.5,4.8,81.09050486794658,0.9939455914858257,0.00605440851417427,0.9939455914858257,0.00605440851417427
0.5,4.9,66.6760716081662,0.9926652594286551,0.007334740571344867,0.9926652594286551,0.007334740571344867
0.5,5.0,54.823909807159254,0.9911213757766397,0.008878624223360276,0.9911213757766397,0.008878624223360276
0.5,5.1,45.078556880297896,0.98926297169184,0.010737028308160035,0.98926297169184,0.010737028308160035
0.5,5.2,37.06551206504589,0.9870306868416492,0.012969313158350815,0.9870306868416492,0.012969313158350815
0.5,5.3,30.476844862008484,0.9843560321260725,0.015643967873927522,0.9843560321260725,0.015643967873927522
0.5,5.4,25.05936168136361,0.981160883370686,0.018839116629314034,0.9811608833706859,0.018839116629314034
0.5,5.5,20.60487595486652,0.9773573626901921,0.022642637309807867,0.9773573626901921,0.022642637309807867
0.5,5.6,16.942207806960145,0.972848304290828,0.027151695709171975,0.972848304290828,0.027151695709171975
0.5,5.7,13.930605843148854,0.9675285337976671,0.03247146620233288,0.967528533797667,0.03247146620233288
0.5,5.8,11.454338263838874,0.9612872019769103,0.03871279802308969,0.9612872019769103,0.03871279802308969
0.5,5.9,9.418245447449001,0.9540113881080536,0.04598861189194636,0.9540113881080536,0.04598861189194636
0.5,6.0,7.74408309456241,0.9455911070369636,0.054408892963036415,0.9455911070369635,0.054408892963036415
0.5,6.1,6.367515405083318,0.9359257034110593,0.0640742965889407,0.9359257034110593,0.0640742965889407
0.5,6.2,5.235642740254498,0.9249313963412238,0.07506860365877621,0.9249313963412238,0.07506860365877621
0.5,6.3,4.304968760923007,0.9125494699252017,0.0874505300747983,0.9125494699252017,0.0874505300747983
0.5,6.4,3.5397289219206893,0.8987543394319304,0.1012456605680696,0.8987543394319304,0.1012456605680696
0.5,6.5,2.9105160888543584,0.8835605313497568,0.11643946865024324,0.8835605313497568,0.11643946865024324
0.5,6.6,2.393150461613195,0.8670275727834715,0.13297242721652847,0.8670275727834715,0.13297242721652847
0.5,6.699999999999999,1.9677503772788911,0.849261940537769,0.15073805946223096,0.8492619405377689,0.15073805946223096
0.5,6.8,1.617968284648143,0.8304155683488221,0.16958443165117787,0.8304155683488221,0.16958443165117787
0.5,6.9,1.3303625298994048,0.8106808858097703,0.18931911419022973,0.8106808858097703,0.18931911419022973
0.5,7.0,1.093880811974777,0.790282853827601,0.209717146172399,0.790282853827601,0.209717146172399
0.5,7.1,0.8994354575643952,0.7694688521991502,0.23053114780084982,0.7694688521991502,0.23053114780084982
0.5,7.199999999999999,0.7395541940841053,0.7484974834104253,0.2515025165895747,0.7484974834104253,0.2515025165895747
0.5,7.3,0.6080930003231846,0.7276273605392127,0.27237263946078727,0.7276273605392127,0.27237263946078727
0.5,7.4,0.5,0.7071067811865476,0.2928932188134524,0.7071067811865476,0.2928932188134524
0.5,7.5,0.4111213249735359,0.6871649241302197,0.3128350758697803,0.6871649241302197,0.3128350758697803
0.5,7.6,0.33804148769599135,0.6680049179615399,0.33199508203846007,0.6680049179615399,0.33199508203846007
2.0,4.5,145.87135070005846,0.9865643691229309,0.013435630877069116,0.9865643691229308,0.013435630877069116
2.0,4.6,119.94164595097462,0.9837299663712642,0.016270033628735803,0.9837299663712642,0.016270033628735803
2.0,4.7,98.62113680574267,0.9803152419607031,0.019684758039296923,0.9803152419607031,0.019684758039296923
